id,title,slug,period,date_added,last_modified,era,phase,start_year,content
4,The Bronze Age Collapse,the-bronze-age-collapse,Early Civilizations,2026-06-04T21:30:19.887078+00:00,2026-06-04T21:30:19.887078+00:00,Ancient History,Late Bronze Age,-1200,
5,The Fall of Rome,the-fall-of-rome,Roman Era,2026-06-04T21:30:19.887078+00:00,2026-06-04T21:30:19.887078+00:00,Ancient History,Late Roman Empire,476,
7,The Cold War,the-cold-war,Cold War,2026-06-04T21:30:19.887078+00:00,2026-06-04T21:30:19.887078+00:00,Modern Period,Early Cold War,1947,
8,The Crisis of the Third Century,the-crisis-of-the-third-century,Roman Era,2026-06-04T21:50:00.359828+00:00,2026-06-04 22:04:48.512213,Ancient History,Late Roman Empire,-235,
9,The Sack of Rome,the-sack-of-rome,Roman Era,2026-06-04T21:50:00.359828+00:00,2026-06-04T21:50:00.359828+00:00,Ancient History,Late Roman Empire,410,
10,Prehistory Overview,prehistory-overview,Stone Age,2026-06-06 20:50:10.725448,2026-06-06 20:51:23.770292,Prehistory,Paleolithic,-3300000,
11,Mesolithic Overview,mesolithic-overview,Stone Age,2026-06-06 20:53:22.489749,2026-06-06 20:53:22.489752,Prehistory,Mesolithic,-12000,
12,Neolithic Overview,neolithic-overview,Stone Age,2026-06-06 20:59:53.649650,2026-06-06 20:59:53.649652,Prehistory,Neolithic,-9000,
13,Early Bronze Age,early-bronze-age,Bronze Age,2026-06-06 21:01:10.873090,2026-06-06 21:01:10.873093,Prehistory,Early Bronze Age,-3300,
14,Middle Bronze Age,middle-bronze-age,Bronze Age,2026-06-06 21:02:00.961884,2026-06-06 21:02:00.961887,Prehistory,Middle Bronze Age,-2100,
15,Late Bronze Age,late-bronze-age,Bronze Age,2026-06-06 21:02:40.569312,2026-06-06 21:02:40.569314,Prehistory,Late Bronze Age,-1550,
16,Early Iron Age,early-iron-age,Iron Age,2026-06-06 21:03:24.809426,2026-06-06 21:03:24.809429,Prehistory,Early Iron Age,-1200,
17,Late Iron Age,late-iron-age,Iron Age,2026-06-06 21:05:42.008783,2026-06-06 21:05:42.008786,Prehistory,Late Iron Age,-550,
18,Mesopotamia,mesopotamia,Early Civilizations,2026-06-06 21:06:45.441327,2026-06-06 21:06:45.441330,Ancient History,Mesopotamia,-3500,
19,Ancient Egypt Overview,ancient-egypt-overview,Early Civilizations,2026-06-06 21:08:12.205263,2026-06-06 21:08:12.205266,Ancient History,Ancient Egypt,-3100,
20,Indus Valley Civilization Overview,indus-valley-civilization-overview,Early Civilizations,2026-06-06 21:08:53.981113,2026-06-06 21:08:53.981116,Ancient History,Indus Valley,-3300,
21,Archaic Greece Overview,archaic-greece-overview,Classical Antiquity,2026-06-06 21:09:53.488617,2026-06-06 21:09:53.488620,Ancient History,Archaic Greece,-800,
22,Classical Greece Overview,classical-greece-overview,Classical Antiquity,2026-06-06 21:12:17.176533,2026-06-06 21:12:17.176536,Ancient History,Classical Greece,-480,
23,Hellenistic Period Overview,hellenistic-period-overview,Classical Antiquity,2026-06-06 21:13:09.440402,2026-06-06 21:13:09.440404,Ancient History,Hellenistic Period,-323,
24,Roman Republic Overview,roman-republic-overview,Roman Era,2026-06-06 21:14:10.857297,2026-06-06 21:14:10.857300,Ancient History,Roman Republic,-509,
25,Pax Romana Overview,pax-romana-overview,Roman Era,2026-06-06 21:14:46.304478,2026-06-06 21:14:46.304481,Ancient History,Pax Romana,-27,
26,Late Roman Empire Overview,late-roman-empire-overview,Roman Era,2026-06-06 21:15:26.480773,2026-06-06 21:15:26.480777,Ancient History,Late Roman Empire,-180,
27,Migration Period Overview,migration-period-overview,Early Middle Ages,2026-06-06 21:16:38.063860,2026-06-06 21:16:38.063863,Middle Ages,Migration Period,376,
28,Merovingian Phase Overview,merovingian-phase-overview,Early Middle Ages,2026-06-06 21:17:10.064104,2026-06-06 21:17:10.064106,Middle Ages,Merovingian Phase,481,
29,Carolingian Phase Overview,carolingian-phase-overview,Early Middle Ages,2026-06-06 21:17:48.488721,2026-06-06 21:17:48.488724,Middle Ages,Carolingian Phase,751,
30,Feudal Expansion Overview,feudal-expansion-overview,High Middle Ages,2026-06-06 21:18:34.592191,2026-06-06 21:18:34.592194,Middle Ages,Feudal Expansion,1000,
31,Crusading Phase Overview,crusading-phase-overview,High Middle Ages,2026-06-06 21:19:12.119728,2026-06-06 21:19:12.119730,Middle Ages,Crusading Phase,1095,
32,Medieval Warm Period Overview,medieval-warm-period-overview,High Middle Ages,2026-06-06 21:19:53.168008,2026-06-06 21:19:53.168012,Middle Ages,Medieval Warm Period,950,
33,Black Death Phase Overview,black-death-phase-overview,Late Middle Ages,2026-06-06 21:20:32.496044,2026-06-06 21:20:32.496047,Middle Ages,Black Death Phase,1347,
34,Hundred Years War Overview,hundred-years-war-overview,Late Middle Ages,2026-06-06 21:21:07.239950,2026-06-06 21:21:07.239953,Middle Ages,Hundred Years War,1337,
35,Pre-Renaissance Overview,pre-renaissance-overview,Late Middle Ages,2026-06-06 21:21:51.047958,2026-06-06 21:21:51.047960,Middle Ages,Pre-Renaissance,1300,
36,Early Renaissance Overview,early-renaissance-overview,Renaissance,2026-06-06 21:26:00.608302,2026-06-06 21:26:00.608305,Early Modern Period,Early Renaissance,1400,
37,High Renaissance Overview,high-renaissance-overview,Renaissance,2026-06-06 21:26:50.088069,2026-06-06 21:35:17.671158,Early Modern Period,High Renaissance,1490,
38,Northern Renaissance Overview,northern-renaissance-overview,Renaissance,2026-06-06 21:27:34.375674,2026-06-06 21:27:34.375677,Early Modern Period,Northern Renaissance,1490,
39,Iberian Exploration Overview,iberian-exploration-overview,Age of Exploration,2026-06-06 21:28:43.551999,2026-06-06 21:28:43.552002,Early Modern Period,Iberian Exploration,1415,
40,Columbian Exchange Overview,columbian-exchange-overview,Age of Exploration,2026-06-06 21:29:21.823182,2026-06-06 21:29:21.823184,Early Modern Period,Columbian Exchange,1492,
41,Colonial Expansion Overview,colonial-expansion-overview,Age of Exploration,2026-06-06 21:29:56.479289,2026-06-06 21:29:56.479293,Early Modern Period,Colonial Expansion,1492,
42,Copernican Phase Overview,copernican-phase-overview,Scientific Revolution,2026-06-06 21:30:59.279318,2026-06-06 21:30:59.279320,Early Modern Period,Copernican Phase,1543,
43,Newtonian Phase Overview,newtonian-phase-overview,Scientific Revolution,2026-06-06 21:31:42.943350,2026-06-06 21:31:42.943352,Early Modern Period,Newtonian Phase,1610,
44,Enlightenment Overview,enlightenment-overview,Scientific Revolution,2026-06-06 21:32:25.039292,2026-06-06 21:32:25.039294,Early Modern Period,Enlightenment,1685,
45,American Revolution Overview,american-revolution-overview,Age of Revolution,2026-06-06 21:33:16.895762,2026-06-06 21:33:16.895765,Early Modern Period,American Revolution,1765,
46,French Revolution Overview,french-revolution-overview,Age of Revolution,2026-06-06 21:33:59.335061,2026-06-06 21:33:59.335064,Early Modern Period,French Revolution,1789,
47,Napoleonic Era Overview,napoleonic-era-overview,Age of Revolution,2026-06-06 21:34:53.855059,2026-06-06 21:34:53.855062,Early Modern Period,Napoleonic Era,1799,
48,Indus Valley Civilization,indus-valley-overview,Early Civilizations,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Ancient History,Indus Valley Civilization,-3300,
49,Reconstruction Phase,reconstruction-phase-overview,Post-War Era,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Reconstruction Phase,1945,
50,Decolonization,decolonization-overview,Post-War Era,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Decolonization,1945,
51,Economic Boom,economic-boom-overview,Post-War Era,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Economic Boom,1950,
52,Digital Revolution,digital-revolution-overview,Globalization,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Digital Revolution,1970,
53,Information Age,information-age-overview,Globalization,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Information Age,1990,
54,Global Integration,global-integration-overview,Globalization,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Global Integration,1980,
55,Post 9/11,post-9-11-overview,21st Century,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Post 9/11,2001,
56,Financial Crisis Era,financial-crisis-era-overview,21st Century,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Financial Crisis Era,2008,
57,Pandemic Era,pandemic-era-overview,21st Century,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Contemporary,Pandemic Era,2020,
58,First Industrial Revolution,first-industrial-revolution-overview,Industrial Era,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,First Industrial Revolution,1760,
59,Second Industrial Revolution,second-industrial-revolution-overview,Industrial Era,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Second Industrial Revolution,1870,
60,Mass Production Phase,mass-production-phase-overview,Industrial Era,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Mass Production Phase,1913,
61,European Expansion,european-expansion-overview,Age of Imperialism,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,European Expansion,1815,
62,Scramble for Africa,scramble-for-africa-overview,Age of Imperialism,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Scramble for Africa,1880,
63,Colonial Peak,colonial-peak-overview,Age of Imperialism,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Colonial Peak,1900,
64,World War I,world-war-i-overview,World Wars,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,World War I,1914,
65,Interwar Period,interwar-period-overview,World Wars,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Interwar Period,1919,
66,World War II,world-war-ii-overview,World Wars,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,World War II,1939,
67,Early Cold War,early-cold-war-overview,Cold War,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Early Cold War,1945,
68,Space Race,space-race-overview,Cold War,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Space Race,1957,
69,Détente,detente-overview,Cold War,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Détente,1969,
70,Late Cold War,late-cold-war-overview,Cold War,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Modern Period,Late Cold War,1979,
71,Paleolithic,paleolithic-overview,Stone Age,2026-06-07T00:05:07.220619+00:00,2026-06-07T00:05:07.220619+00:00,Prehistory,Paleolithic,,
